LineId,Time,Component,Pid,Content,EventTemplate,EventId
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,onExtend:1514038532000 1 0 4,3e65bed3
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,getTodayTotalDetailSteps =,2ef25739
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,<*>,ff52c40c
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,<*>,ff52c40c
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,REPORT :,629d6f79
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,<*>,ff52c40c
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend:1514038533000 1 0 4,4bd97414
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,getTodayTotalDetailSteps =,2ef25739
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,<*>,ff52c40c
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,<*>,ff52c40c
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,REPORT :,629d6f79
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,<*>,ff52c40c
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend:1514038533000 1 0 4,4bd97414
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,getTodayTotalDetailSteps =,2ef25739
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,<*>,ff52c40c
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,<*>,ff52c40c
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,REPORT :,629d6f79
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,<*>,ff52c40c
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,onExtend:1514038534000 1 0 4,01aa5dcd
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,getTodayTotalDetailSteps =,2ef25739
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,<*>,ff52c40c
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,<*>,ff52c40c
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,REPORT :,629d6f79
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,<*>,ff52c40c
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend:1514038535000 1 0 4,d447ec07
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,b891c816
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,<*>,ff52c40c
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend:1514038535000 1 0 4,d447ec07
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,getTodayTotalDetailSteps =,2ef25739
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,<*>,ff52c40c
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,<*>,ff52c40c
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,<*>,ff52c40c
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on","screen status unknown,think screen on",ffb006b5
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT :,629d6f79
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,b080c338
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,dd5e8a75
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,b8f897f8
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,getTodayTotalDetailSteps =,2ef25739
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,<*>,ff52c40c
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,<*>,ff52c40c
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,<*>,ff52c40c
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT :,629d6f79
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,<*>,ff52c40c
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,onExtend:1514038536000 0 0 4,b416b463
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,<*>,ff52c40c
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend:1514038536000 1 0 4,4e7d222e
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,getTodayTotalDetailSteps =,2ef25739
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,<*>,ff52c40c
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,<*>,ff52c40c
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,REPORT :,629d6f79
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,<*>,ff52c40c
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend:1514038536000 1 0 4,4e7d222e
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,getTodayTotalDetailSteps =,2ef25739
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,<*>,ff52c40c
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,<*>,ff52c40c
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,REPORT :,629d6f79
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,<*>,ff52c40c
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,onExtend:1514038537000 1 0 4,3aa44b19
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,getTodayTotalDetailSteps =,2ef25739
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,<*>,ff52c40c
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,<*>,ff52c40c
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,REPORT :,629d6f79
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,<*>,ff52c40c
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend:1514038538000 1 0 4,6e44696a
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,getTodayTotalDetailSteps =,2ef25739
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,<*>,ff52c40c
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,<*>,ff52c40c
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,REPORT :,629d6f79
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,<*>,ff52c40c
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend:1514038538000 1 0 4,6e44696a
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,getTodayTotalDetailSteps =,2ef25739
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,<*>,ff52c40c
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,<*>,ff52c40c
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,REPORT :,629d6f79
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,<*>,ff52c40c
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend:1514038539000 1 0 4,690adadd
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,getTodayTotalDetailSteps =,2ef25739
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,<*>,ff52c40c
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,<*>,ff52c40c
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,REPORT :,629d6f79
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,<*>,ff52c40c
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend:1514038539000 1 0 4,690adadd
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,getTodayTotalDetailSteps =,2ef25739
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,<*>,ff52c40c
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,<*>,ff52c40c
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,REPORT :,629d6f79
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,<*>,ff52c40c
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,onExtend:1514038540000 1 0 4,aec258d1
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,getTodayTotalDetailSteps =,2ef25739
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,<*>,ff52c40c
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,<*>,ff52c40c
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,REPORT :,629d6f79
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,<*>,ff52c40c
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend:1514038541000 1 0 4,72a41cf8
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,getTodayTotalDetailSteps =,2ef25739
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,<*>,ff52c40c
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,<*>,ff52c40c
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,REPORT :,629d6f79
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,<*>,ff52c40c
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend:1514038541000 1 0 4,72a41cf8
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,getTodayTotalDetailSteps =,2ef25739
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,<*>,ff52c40c
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,<*>,ff52c40c
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,REPORT :,629d6f79
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,<*>,ff52c40c
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend:1514038542000 1 0 4,6c5010de
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,getTodayTotalDetailSteps =,2ef25739
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,<*>,ff52c40c
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,<*>,ff52c40c
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,REPORT :,629d6f79
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,<*>,ff52c40c
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend:1514038542000 1 0 4,6c5010de
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,getTodayTotalDetailSteps =,2ef25739
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,<*>,ff52c40c
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,<*>,ff52c40c
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,REPORT :,629d6f79
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,<*>,ff52c40c
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,onExtend:1514038543000 1 0 4,c6ecbf76
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,getTodayTotalDetailSteps =,2ef25739
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,<*>,ff52c40c
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,<*>,ff52c40c
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,REPORT :,629d6f79
177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,<*>,ff52c40c
178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend:1514038544000 1 0 4,8f841706
179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,getTodayTotalDetailSteps =,2ef25739
180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,<*>,ff52c40c
181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,<*>,ff52c40c
182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,REPORT :,629d6f79
184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,<*>,ff52c40c
185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend:1514038544000 1 0 4,8f841706
186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,getTodayTotalDetailSteps =,2ef25739
187,20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,<*>,ff52c40c
188,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,<*>,ff52c40c
189,20171223-22:15:44:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
190,20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240,REPORT :,629d6f79
191,20171223-22:15:44:849,Step_LSC,30002312,onStandStepChanged 3605,<*>,ff52c40c
192,20171223-22:15:44:863,Step_LSC,30002312,onExtend:1514038545000 1 0 4,onExtend:1514038545000 1 0 4,4664ebd0
193,20171223-22:15:45:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,getTodayTotalDetailSteps =,2ef25739
194,20171223-22:15:45:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,<*>,ff52c40c
195,20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332,<*>,ff52c40c
196,20171223-22:15:45:161,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
197,20171223-22:15:45:164,Step_StandReportReceiver,30002312,REPORT : 7033 5021 150646 240,REPORT :,629d6f79
198,20171223-22:15:45:348,Step_LSC,30002312,onStandStepChanged 3606,<*>,ff52c40c
199,20171223-22:15:45:361,Step_LSC,30002312,onExtend:1514038546000 1 0 4,onExtend:1514038546000 1 0 4,9df96938
200,20171223-22:15:45:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,getTodayTotalDetailSteps =,2ef25739
201,20171223-22:15:45:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,<*>,ff52c40c
202,20171223-22:15:45:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127354,<*>,ff52c40c
203,20171223-22:15:45:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
204,20171223-22:15:45:659,Step_StandReportReceiver,30002312,REPORT : 7034 5022 150668 240,REPORT :,629d6f79
205,20171223-22:15:45:848,Step_LSC,30002312,onStandStepChanged 3607,<*>,ff52c40c
206,20171223-22:15:45:851,Step_LSC,30002312,onExtend:1514038546000 1 0 4,onExtend:1514038546000 1 0 4,9df96938
207,20171223-22:15:46:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,getTodayTotalDetailSteps =,2ef25739
208,20171223-22:15:46:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,<*>,ff52c40c
209,20171223-22:15:46:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127375,<*>,ff52c40c
210,20171223-22:15:46:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
211,20171223-22:15:46:164,Step_StandReportReceiver,30002312,REPORT : 7035 5022 150689 240,REPORT :,629d6f79
212,20171223-22:15:46:349,Step_LSC,30002312,onStandStepChanged 3608,<*>,ff52c40c
213,20171223-22:15:46:355,Step_LSC,30002312,onExtend:1514038547000 1 0 4,onExtend:1514038547000 1 0 4,78b2201e
214,20171223-22:15:46:650,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7035##548365##8661##14926##27190469,getTodayTotalDetailSteps =,2ef25739
215,20171223-22:15:46:651,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,<*>,ff52c40c
216,20171223-22:15:46:674,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127396,<*>,ff52c40c
