LineId,Time,Component,Pid,Content,EventId,EventTemplate
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,NONE,NONE
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,93067dc4,onStandStepChanged <*>
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,3e662616,<*> <*> 0 <*>
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,0abafcf6,<*> <*> = <*>
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,NONE,NONE
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,93067dc4,onStandStepChanged <*>
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,3e662616,<*> <*> 0 <*>
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,0abafcf6,<*> <*> = <*>
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,NONE,NONE
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,93067dc4,onStandStepChanged <*>
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,3e662616,<*> <*> 0 <*>
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,0abafcf6,<*> <*> = <*>
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,NONE,NONE
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,93067dc4,onStandStepChanged <*>
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,3e662616,<*> <*> 0 <*>
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,0abafcf6,<*> <*> = <*>
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,NONE,NONE
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,93067dc4,onStandStepChanged <*>
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,3e662616,<*> <*> 0 <*>
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,0abafcf6,<*> <*> = <*>
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,NONE,NONE
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,93067dc4,onStandStepChanged <*>
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,3e662616,<*> <*> 0 <*>
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,0abafcf6,<*> <*> = <*>
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,NONE,NONE
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,93067dc4,onStandStepChanged <*>
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,3e662616,<*> <*> 0 <*>
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,NONE,NONE
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,3e662616,<*> <*> 0 <*>
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,0abafcf6,<*> <*> = <*>
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,NONE,NONE
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,NONE,NONE
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",NONE,NONE
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,NONE,NONE
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,b0190ab5,processHandleBroadcastAction <*>
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,NONE,NONE
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,0abafcf6,<*> <*> = <*>
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,NONE,NONE
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,fed117f9,onExtend:15140<*>000 0 0 <*>
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,93067dc4,onStandStepChanged <*>
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,3e662616,<*> <*> 0 <*>
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,0abafcf6,<*> <*> = <*>
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,NONE,NONE
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,93067dc4,onStandStepChanged <*>
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,3e662616,<*> <*> 0 <*>
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,0abafcf6,<*> <*> = <*>
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,NONE,NONE
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,93067dc4,onStandStepChanged <*>
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,3e662616,<*> <*> 0 <*>
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,0abafcf6,<*> <*> = <*>
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,NONE,NONE
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,93067dc4,onStandStepChanged <*>
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,3e662616,<*> <*> 0 <*>
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,0abafcf6,<*> <*> = <*>
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,NONE,NONE
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,93067dc4,onStandStepChanged <*>
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,3e662616,<*> <*> 0 <*>
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,0abafcf6,<*> <*> = <*>
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,NONE,NONE
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,93067dc4,onStandStepChanged <*>
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,3e662616,<*> <*> 0 <*>
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,0abafcf6,<*> <*> = <*>
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,NONE,NONE
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,93067dc4,onStandStepChanged <*>
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,3e662616,<*> <*> 0 <*>
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,0abafcf6,<*> <*> = <*>
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,NONE,NONE
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,93067dc4,onStandStepChanged <*>
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,3e662616,<*> <*> 0 <*>
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,0abafcf6,<*> <*> = <*>
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,NONE,NONE
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,93067dc4,onStandStepChanged <*>
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,3e662616,<*> <*> 0 <*>
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,0abafcf6,<*> <*> = <*>
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,NONE,NONE
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,93067dc4,onStandStepChanged <*>
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,3e662616,<*> <*> 0 <*>
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,0abafcf6,<*> <*> = <*>
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,NONE,NONE
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,93067dc4,onStandStepChanged <*>
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,3e662616,<*> <*> 0 <*>
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,0abafcf6,<*> <*> = <*>
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,NONE,NONE
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,93067dc4,onStandStepChanged <*>
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,3e662616,<*> <*> 0 <*>
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,0abafcf6,<*> <*> = <*>
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,NONE,NONE
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,93067dc4,onStandStepChanged <*>
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,3e662616,<*> <*> 0 <*>
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,0abafcf6,<*> <*> = <*>
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,NONE,NONE
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,93067dc4,onStandStepChanged <*>
178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,3e662616,<*> <*> 0 <*>
179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,0abafcf6,<*> <*> = <*>
180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,NONE,NONE
181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,93067dc4,onStandStepChanged <*>
185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,3e662616,<*> <*> 0 <*>
186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,0abafcf6,<*> <*> = <*>
187,20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,NONE,NONE
188,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
189,20171223-22:15:44:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
190,20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
191,20171223-22:15:44:849,Step_LSC,30002312,onStandStepChanged 3605,93067dc4,onStandStepChanged <*>
192,20171223-22:15:44:863,Step_LSC,30002312,onExtend:1514038545000 1 0 4,3e662616,<*> <*> 0 <*>
193,20171223-22:15:45:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,0abafcf6,<*> <*> = <*>
194,20171223-22:15:45:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,NONE,NONE
195,20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
196,20171223-22:15:45:161,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
197,20171223-22:15:45:164,Step_StandReportReceiver,30002312,REPORT : 7033 5021 150646 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
198,20171223-22:15:45:348,Step_LSC,30002312,onStandStepChanged 3606,93067dc4,onStandStepChanged <*>
199,20171223-22:15:45:361,Step_LSC,30002312,onExtend:1514038546000 1 0 4,3e662616,<*> <*> 0 <*>
