LineId,Date,Time,Pid,Tid,Level,Component,Content,EventTemplate,EventId
28,03-17,16:13:39.010,1702,2639,D,PowerManagerService,"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release : lock = #spec# , flg = #spec# , tag = * , name = android"" , ws = WorkSource { #spec# } , uid = #spec# , pid = #spec#",f7307204
29,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000","userActivityNoUpdateLocked : eventTime = #spec# , event = #spec# , flags = #spec# , uid = #spec#",62a7194a
30,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
31,03-17,16:13:39.069,1702,1815,I,WindowManager,"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete , call stopFreezingDisplayLocked",9638e733
32,03-17,16:13:39.070,1702,1815,I,WindowManager,Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for +1s0ms due to Window { #spec# u0 #spec# . #spec# },2bd2368f
33,03-17,16:13:39.070,1702,1815,D,WindowManager,startAnimation begin,startAnimation begin,4bea79c0
34,03-17,16:13:39.079,1702,1815,D,WindowManager,startAnimation end,startAnimation end,d8791e4b
35,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702","release : lock = #spec# , flg = #spec# , tag = * , name = android"" , ws = null , uid = #spec# , pid = #spec#",1e0ef7a3
36,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
37,03-17,16:13:39.095,1702,8671,I,AlarmManager,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove ( PendingIntent { #spec# : PendingIntentRecord { #spec# #spec# broadcastIntent } } ) changed bounds ; rebatching,5cba5eb6
38,03-17,16:13:39.207,1702,1815,I,WindowManager,"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED","rotationForOrientationLw ( orient = #spec# , last = #spec# ) ; user = #spec# USER_ROTATION_LOCKED",be3eaa46
39,03-17,16:13:39.207,1702,1815,I,WindowManager,"Application requested orientation 1, got rotation 0 which has compatible metrics","Application requested orientation #spec# , got rotation #spec# which has compatible metrics",084de205
40,03-17,16:13:40.142,1702,2618,D,PowerManagerService,"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626","acquire lock = #spec# , flags = #spec# , tag = ""RILJ_ACK_WL"" , name = #spec# , ws = null , uid = #spec# , pid = #spec#",f79b4c69
41,03-17,16:13:40.143,1702,2618,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
42,03-17,16:13:40.146,1702,2555,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
43,03-17,16:13:40.147,1702,2633,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
44,03-17,16:13:40.148,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
45,03-17,16:13:40.150,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
46,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
47,03-17,16:13:40.241,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,shouldBlockLocation running ...,78791997
48,03-17,16:13:40.241,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,* * : *,c06a85cc
49,03-17,16:13:40.280,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,shouldBlockLocation running ...,78791997
50,03-17,16:13:40.280,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,* * : *,c06a85cc
51,03-17,16:13:40.305,3664,3807,D,TelephonyManager,getNeighboringCellInfo calling app is com.amap.android.ams,getNeighboringCellInfo calling app is #spec#,a8a1c064
52,03-17,16:13:40.307,2626,23469,W,PhoneInterfaceManager,shouldBlockLocation running ...,shouldBlockLocation running ...,78791997
53,03-17,16:13:40.308,2626,23469,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,* * : *,c06a85cc
54,03-17,16:13:40.309,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
55,03-17,16:13:40.319,1702,17630,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
56,03-17,16:13:40.322,2626,2809,W,PhoneInterfaceManager,shouldBlockLocation running ...,shouldBlockLocation running ...,78791997
57,03-17,16:13:40.322,2626,2809,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,* * : *,c06a85cc
58,03-17,16:13:40.324,1702,2113,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
59,03-17,16:13:40.332,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
60,03-17,16:13:40.334,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
61,03-17,16:13:40.343,1702,3697,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
62,03-17,16:13:40.345,1702,14638,D,PowerManagerService,"release:lock=166121161, flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626","release : lock = #spec# , flg = #spec# , tag = ""RILJ_ACK_WL"" , name = #spec# "" , ws = null , uid = #spec# , pid = #spec#",fe5ab037
63,03-17,16:13:40.345,1702,14638,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
64,03-17,16:13:40.346,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,shouldBlockLocation running ...,78791997
65,03-17,16:13:40.346,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,* * : *,c06a85cc
66,03-17,16:13:41.480,1702,27357,D,PowerManagerService,"release:lock=264232593, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0","release : lock = #spec# , flg = #spec# , tag = ""AudioMix"" , name = audioserver"" , ws = null , uid = #spec# , pid = #spec#",4dd05758
67,03-17,16:13:41.481,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
68,03-17,16:13:41.481,1702,27357,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".","* suspend blocker ""PowerManagerService.WakeLocks"".",4aed6ebc
69,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,* * = #spec#,47db6d42
70,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,* * = #spec#,47db6d42
71,03-17,16:13:41.614,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200","Animating brightness : target = #spec# , rate = #spec#",a3baea06
72,03-17,16:13:45.307,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261849942, event=2, flags=0x0, uid=1000","userActivityNoUpdateLocked : eventTime = #spec# , event = #spec# , flags = #spec# , uid = #spec#",62a7194a
73,03-17,16:13:45.308,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
74,03-17,16:13:45.310,2227,2227,I,PhoneStatusBar,suspendAutohide,*,3389dae3
75,03-17,16:13:45.316,1702,14640,D,WindowManager,interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false,interceptKeyTq keycode = #spec# interactive = true keyguardActive = false policyFlags = #spec# down * canceled false,b4d63257
76,03-17,16:13:45.317,1702,14640,D,WindowManager,"interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing : key #spec# , result : #spec#",8cfbdba6
77,03-17,16:13:45.317,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261849949, event=1, flags=0x0, uid=1000","userActivityNoUpdateLocked : eventTime = #spec# , event = #spec# , flags = #spec# , uid = #spec#",62a7194a
78,03-17,16:13:45.318,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
79,03-17,16:13:45.358,2227,2227,I,PhoneStatusBar,resumeSuspendedAutohide,*,3389dae3
80,03-17,16:13:45.361,1702,3137,D,WindowManager,interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,interceptKeyTq keycode = #spec# interactive = true keyguardActive = false policyFlags = #spec# down * canceled false,b4d63257
81,03-17,16:13:45.362,1702,3137,D,WindowManager,"interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing : key #spec# , result : #spec#",8cfbdba6
82,03-17,16:13:45.362,2227,2318,V,AudioManager,querySoundEffectsEnabled...,*,3389dae3
83,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702","acquire lock = #spec# , flags = #spec# , tag = ""*launch*"" , name = android , ws = WorkSource { #spec# } , uid = #spec# , pid = #spec#",f46db89c
84,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
85,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".","* suspend blocker ""PowerManagerService.WakeLocks"".",4aed6ebc
86,03-17,16:13:45.402,1702,3694,V,WindowManager,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Skipping AppWindowToken { #spec# token = Token { #spec# ActivityRecord { #spec# u0 #spec# . #spec# t761 } } } -- going to hide,a02bc7f8
87,03-17,16:13:45.405,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis = #spec# mask = #spec# oldVal = #spec# newVal = #spec# diff = #spec# fullscreenStackVis = #spec# dockedStackVis = #spec# , fullscreenStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# ) , dockedStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# )",9c723a12
88,03-17,16:13:45.408,2227,2227,I,PhoneStatusBar,cancelAutohide,*,3389dae3
89,03-17,16:13:45.408,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508","notifyUiVisibilityChanged : vis = #spec# , SystemUiVisibility = #spec#",7885475b
90,03-17,16:13:45.466,1702,17632,W,ActivityManager,Bad activity token: android.os.BinderProxy@2bd79ce,Bad activity token : #spec# @ #spec#,6c830c4a
91,03-17,16:13:45.466,1702,17632,W,ActivityManager,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,#spec# : #spec# cannot be cast to #spec# $Token,1b865c5a
92,03-17,16:13:45.512,1702,2639,V,WindowManager,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Skipping AppWindowToken { #spec# token = Token { #spec# ActivityRecord { #spec# u0 #spec# . #spec# t761 } } } -- going to hide,a02bc7f8
93,03-17,16:13:45.598,1702,2556,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release : lock = #spec# , flg = #spec# , tag = * , name = android"" , ws = WorkSource { #spec# } , uid = #spec# , pid = #spec#",f7307204
94,03-17,16:13:45.599,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",1052dad1
95,03-17,16:13:45.599,1702,2556,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".","* suspend blocker ""PowerManagerService.WakeLocks"".",4aed6ebc
96,03-17,16:13:45.626,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis = #spec# mask = #spec# oldVal = #spec# newVal = #spec# diff = #spec# fullscreenStackVis = #spec# dockedStackVis = #spec# , fullscreenStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# ) , dockedStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# )",9c723a12
