LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","SQM : Failed to start upload with file pattern : C : \Windows\servicing\sqm\*_std.sqm , flags : #spec# [ HRESULT = #spec# - E_FAIL ]",9179235c
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],SQM : Failed to start standard sample upload. [ HRESULT = #spec# - E_FAIL ],afea6058
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","SQM : Queued #spec# file ( s ) for upload with pattern : C : \Windows\servicing\sqm\*_all.sqm , flags : #spec#",c6669e35
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],SQM : Warning : Failed to upload all unsent reports. [ HRESULT = #spec# - E_FAIL ],168d0db1
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required , TrustedInstaller service was not set as autostart , or else a reboot is still pending.",89ede93e
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,NonStart : Checking to ensure startup processing was not required.,a6e998ff
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90","#spec# IAdvancedInstallerAwareStore_ResolvePendingTransactions ( call 1 ) ( flags = 00000004 , progress = NULL , phase = 0 , pdwDisposition = @ #spec#",e8306501
18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""","#spec# Creating NT transaction ( seq 1 ) , objectname [ 6 ] "" ( null ) """,8f61950b
19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214","#spec# Created NT transaction ( seq * ) result #spec# , handle @ #spec#",a39d4df2
20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,00000007@ #spec# : 20 : 30 : 31.462 CSI perf trace :,39b872ba
21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.","NonStart : Success , startup processing not required as expected.",336f8f41
22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,Startup processing thread terminated normally,0249909f
23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,#spec# CSI Store #spec# ( #spec# ) initialized,aba9d2a8
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,Session : * initialized by client *,66ef179c
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,Session : * initialized by client *,66ef179c
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
55,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
56,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
57,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
58,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
59,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
60,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
61,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
62,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
63,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
64,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
65,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
66,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
67,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
68,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
69,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
70,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
71,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
72,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
73,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
74,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
75,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
76,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
77,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
78,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
79,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
80,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
81,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
82,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
83,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
84,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
85,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
86,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
87,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
88,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
89,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
90,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
92,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
93,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
94,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
95,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
96,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
97,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
98,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
99,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
100,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
101,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
102,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
103,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
104,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
105,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
106,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
107,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
108,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
109,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
110,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
111,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
112,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
113,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
114,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
115,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
116,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
117,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
118,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
119,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
120,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
121,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
122,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
123,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
124,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
125,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
126,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
127,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
128,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
129,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
130,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.,Session : * initialized by client *,66ef179c
131,2016-09-28,04:30:32,Info,CBS,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Failed to internally open package. [ HRESULT = #spec# - CBS_E_INVALID_PACKAGE ],bdd7abdd
132,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4268042763 initialized by client WindowsUpdateAgent.,Session : * initialized by client *,66ef179c
133,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4271022933 initialized by client WindowsUpdateAgent.,Session : * initialized by client *,66ef179c
134,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
135,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
136,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],177f0962
137,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning : Unrecognized packageExtended attribute.,8e8298b5
138,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [ HRESULT = #spec# - CBS_E_MANIFEST_INVALID_ITEM ],ba6af27e
